Enzyme,Ligand,Energy,LB,UB,num_torsions
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-6.266,0.0,0.0,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-6.118,1.182,4.927,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-5.647,1.578,2.711,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.296,24.56,25.638,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.257,18.701,19.359,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.184,18.713,20.195,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-3.903,21.494,22.153,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-3.887,16.179,18.925,4
CalA_wt_Alphafold,4_Methoxyphenethyl_alcohol,-3.755,18.719,19.358,4
CalA_wt_Alphafold,Caffeic_Acid,-6.983,0.0,0.0,5
CalA_wt_Alphafold,Caffeic_Acid,-6.916,3.751,7.865,5
CalA_wt_Alphafold,Caffeic_Acid,-6.842,1.202,5.923,5
CalA_wt_Alphafold,Caffeic_Acid,-6.759,1.121,2.082,5
CalA_wt_Alphafold,Caffeic_Acid,-6.276,1.439,2.507,5
CalA_wt_Alphafold,Caffeic_Acid,-5.73,24.443,26.03,5
CalA_wt_Alphafold,Caffeic_Acid,-5.263,4.411,6.57,5
CalA_wt_Alphafold,Caffeic_Acid,-5.101,20.911,21.603,5
CalA_wt_Alphafold,Caffeic_Acid,-4.008,1.385,5.819,5
CalA_wt_Alphafold,Cinnamyl_alcohol,-6.433,0.0,0.0,3
CalA_wt_Alphafold,Cinnamyl_alcohol,-6.222,0.304,2.008,3
CalA_wt_Alphafold,Cinnamyl_alcohol,-5.756,5.38,8.237,3
CalA_wt_Alphafold,Cinnamyl_alcohol,-5.607,20.569,21.673,3
CalA_wt_Alphafold,Cinnamyl_alcohol,-5.571,4.527,6.893,3
CalA_wt_Alphafold,Cinnamyl_alcohol,-4.571,19.553,20.854,3
CalA_wt_Alphafold,Cinnamyl_alcohol,-4.57,19.546,20.87,3
CalA_wt_Alphafold,Cinnamyl_alcohol,-4.32,19.922,21.753,3
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-4.017,0.0,0.0,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.956,5.201,6.788,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.858,2.444,4.231,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.684,17.441,20.852,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.651,25.11,27.108,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.553,25.214,27.44,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.442,4.427,6.065,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.122,20.198,21.903,4
CalA_wt_Alphafold,dimethoxybenzyl_alcohol,-3.032,3.847,5.304,4
CalA_wt_Alphafold,Ferulic_Acid,-6.353,0.0,0.0,5
CalA_wt_Alphafold,Ferulic_Acid,-6.206,1.064,2.418,5
CalA_wt_Alphafold,Ferulic_Acid,-6.142,1.572,6.062,5
CalA_wt_Alphafold,Ferulic_Acid,-5.33,1.557,5.633,5
CalA_wt_Alphafold,Ferulic_Acid,-4.294,19.406,20.258,5
CalA_wt_Alphafold,Ferulic_Acid,-4.196,18.464,20.934,5
CalA_wt_Alphafold,Ferulic_Acid,-4.153,19.93,21.392,5
CalA_wt_Alphafold,Ferulic_Acid,-4.022,19.447,21.464,5
CalA_wt_Alphafold,Gallic_acid,-5.353,0.0,0.0,5
CalA_wt_Alphafold,Gallic_acid,-5.325,23.994,25.809,5
CalA_wt_Alphafold,Gallic_acid,-5.143,23.41,25.092,5
CalA_wt_Alphafold,Gallic_acid,-5.143,23.38,25.077,5
CalA_wt_Alphafold,Gallic_acid,-5.112,23.886,25.567,5
CalA_wt_Alphafold,Gallic_acid,-5.101,23.9,25.463,5
CalA_wt_Alphafold,Gallic_acid,-4.601,10.959,12.54,5
CalA_wt_Alphafold,Gallic_acid,-4.599,10.975,12.366,5
CalA_wt_Alphafold,Gallic_acid,-4.539,31.061,32.733,5
CalA_wt_Alphafold,Verytryl_Alcohol,-4.944,0.0,0.0,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.901,2.565,5.884,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.834,2.581,5.526,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.397,18.213,20.348,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.317,2.505,3.742,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.288,18.84,19.661,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.254,2.355,4.087,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.164,18.08,20.327,4
CalA_wt_Alphafold,Verytryl_Alcohol,-4.149,19.402,21.858,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-5.318,0.0,0.0,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-5.211,3.101,4.431,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-5.131,3.028,4.156,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.959,2.579,3.278,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.854,1.952,2.342,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.806,3.926,5.674,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.743,3.692,4.939,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.604,3.129,5.435,4
CalB_wt_Alphafold,4_Methoxyphenethyl_alcohol,-4.548,2.585,4.863,4
CalB_wt_Alphafold,Caffeic_Acid,-6.434,0.0,0.0,5
CalB_wt_Alphafold,Caffeic_Acid,-5.908,1.308,1.679,5
CalB_wt_Alphafold,Caffeic_Acid,-5.824,3.294,4.59,5
CalB_wt_Alphafold,Caffeic_Acid,-5.789,2.308,5.564,5
CalB_wt_Alphafold,Caffeic_Acid,-5.718,2.812,3.338,5
CalB_wt_Alphafold,Caffeic_Acid,-5.685,3.12,5.409,5
CalB_wt_Alphafold,Caffeic_Acid,-5.64,3.192,4.385,5
CalB_wt_Alphafold,Caffeic_Acid,-5.589,14.973,16.176,5
