"Enzyme","Ligand","OptimalEnergy","Energy","LB","UB","num_torsions"
"CDULAC_DUBLINIENSIS","4_Methoxyphenethyl_alcohol",-5.796,-5.543,1.059,4.937,4
"CDULAC_DUBLINIENSIS","Caffeic_Acid",-6.32,-5.771,1.139,2.069,5
"CDULAC_DUBLINIENSIS","Cinnamyl_alcohol",-6.429,-6.392,0.115,1.992,3
"CDULAC_DUBLINIENSIS","Ferulic_Acid",-6.471,-5.623,1.93,5.81,5
"CDULAC_DUBLINIENSIS","Gallic_acid",-4.967,-4.961,0.056,2.402,5
"CDULAC_DUBLINIENSIS","dimethoxybenzyl_alcohol",-6.063,-5.938,2.917,6.399,4
"CPLIP2_S369A_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.722,-5.477,1.191,5.106,4
"CPLIP2_S369A_palmitic_acid_model_4","Caffeic_Acid",-6.422,-6.238,10.822,13.739,5
"CPLIP2_S369A_palmitic_acid_model_4","Cinnamyl_alcohol",-6.973,-6.768,11.16,13.085,3
"CPLIP2_S369A_palmitic_acid_model_4","Ferulic_Acid",-6.306,-6.284,11.038,13.829,5
"CPLIP2_S369A_palmitic_acid_model_4","Gallic_acid",-5.373,-5.273,0.214,2.409,5
"CPLIP2_S369A_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.966,-5.808,3.673,8.164,4
"CalA_wt_Alphafold","4_Methoxyphenethyl_alcohol",-6.266,-6.118,1.182,4.927,4
"CalA_wt_Alphafold","Caffeic_Acid",-6.983,-6.916,3.751,7.865,5
"CalA_wt_Alphafold","Cinnamyl_alcohol",-6.433,-6.222,0.304,2.008,3
"CalA_wt_Alphafold","Ferulic_Acid",-6.353,-6.206,1.064,2.418,5
"CalA_wt_Alphafold","Gallic_acid",-5.353,-4.601,10.959,12.54,5
"CalA_wt_Alphafold","dimethoxybenzyl_alcohol",-4.017,-3.956,5.201,6.788,4
"CalB_wt_Alphafold","4_Methoxyphenethyl_alcohol",-5.318,-5.211,3.101,4.431,4
"CalB_wt_Alphafold","Caffeic_Acid",-6.434,-5.908,1.308,1.679,5
"CalB_wt_Alphafold","Cinnamyl_alcohol",-6.357,-6.35,0.151,1.992,3
"CalB_wt_Alphafold","Ferulic_Acid",-6.174,-5.849,1.205,2.455,5
"CalB_wt_Alphafold","Gallic_acid",-5.551,-5.508,1.313,4.039,5
"CalB_wt_Alphafold","dimethoxybenzyl_alcohol",-5.719,-5.602,1.843,5.547,4
"CpLIP2_wt_Alphafold","4_Methoxyphenethyl_alcohol",-5.74,-5.49,1.039,4.972,4
"CpLIP2_wt_Alphafold","Caffeic_Acid",-6.117,-5.998,12.089,13.573,5
"CpLIP2_wt_Alphafold","Cinnamyl_alcohol",-6.558,-6.543,11.332,13.091,3
"CpLIP2_wt_Alphafold","Ferulic_Acid",-6.16,-6.068,9.005,11.178,5
"CpLIP2_wt_Alphafold","Gallic_acid",-5.305,-5.301,1.459,4.418,5
"CpLIP2_wt_Alphafold","dimethoxybenzyl_alcohol",-6.165,-6.091,9.088,11.212,4
"fold_atan1p_wt_alphafold_model_4","4_Methoxyphenethyl_alcohol",-5.041,-4.861,1.322,2.156,4
"fold_atan1p_wt_alphafold_model_4","Caffeic_Acid",-6.036,-5.992,0.964,1.964,5
"fold_atan1p_wt_alphafold_model_4","Cinnamyl_alcohol",-6.228,-6.209,0.169,1.996,3
"fold_atan1p_wt_alphafold_model_4","Ferulic_Acid",-6.203,-6.013,1,2.459,5
"fold_atan1p_wt_alphafold_model_4","Gallic_acid",-5.509,-5.507,0.042,2.402,5
"fold_atan1p_wt_alphafold_model_4","dimethoxybenzyl_alcohol",-5.258,-5.15,1.298,3.162,4
"fold_atan1p_wt_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.151,-4.879,1.104,4.846,4
